epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.6943,2.65023,4.39277,2.34186,0.00219,0.36364,0.00195,0.00061,2.80343,5.03514,2.67741,6.668e-05,6.668e-05,6.668e-05
2,123.243,2.16786,4.02951,2.03285,0.00321,0.52005,0.04952,0.02365,1.78817,4.27092,1.84896,0.000147059,0.000147059,0.000147059
3,170.429,1.73816,3.22556,1.58069,0.00544,0.92513,0.43169,0.18954,1.39252,3.66286,1.38569,0.000224138,0.000224138,0.000224138
4,224.293,1.75952,2.48316,1.48327,0.00592,1,0.56009,0.28035,1.34505,3.56356,1.35017,0.000297916,0.000297916,0.000297916
5,272.255,1.65311,2.55453,1.45893,0.00576,0.97727,0.47687,0.22722,1.40379,3.5997,1.40378,0.000368394,0.000368394,0.000368394
6,319.048,1.58722,2.26045,1.37054,0.00544,0.92513,0.50776,0.21721,1.37313,3.55457,1.39447,0.00043557,0.00043557,0.00043557
7,345.785,1.5566,1.92996,1.34685,0.0044,0.75267,0.48355,0.26373,1.46399,3.56144,1.35897,0.000499447,0.000499447,0.000499447
8,371.831,1.56747,1.86393,1.33608,0.00444,0.75267,0.54985,0.28918,1.45587,3.50665,1.36189,0.000560022,0.000560022,0.000560022
9,401.026,1.48776,2.02833,1.3272,0.00469,0.79144,0.65496,0.34504,1.61545,3.32171,1.40239,0.000617297,0.000617297,0.000617297
10,433.437,1.5373,1.91134,1.35367,0.95546,0.18182,0.50297,0.25126,1.79685,3.33096,1.45621,0.000671271,0.000671271,0.000671271
11,458.582,1.55367,1.77604,1.33036,0.61561,0.31952,0.46639,0.21568,1.625,3.2195,1.47515,0.000721944,0.000721944,0.000721944
12,484.596,1.50472,1.87621,1.33942,0.69459,0.31553,0.54093,0.25483,1.52023,3.14455,1.42579,0.000769317,0.000769317,0.000769317
13,512.999,1.44987,1.74494,1.35101,0.61217,0.29011,0.46939,0.24437,1.50779,3.07494,1.47576,0.000813389,0.000813389,0.000813389
14,540.672,1.52487,1.83667,1.3685,0.76807,0.26138,0.64505,0.30771,1.56814,3.03148,1.47804,0.000854161,0.000854161,0.000854161
15,571.62,1.39834,1.56726,1.23054,0.79319,0.55348,0.74173,0.36458,1.72064,2.71324,1.56688,0.000891632,0.000891632,0.000891632
16,601.611,1.44439,1.50569,1.28721,0.93332,0.68055,0.85611,0.39659,1.73741,2.5496,1.60332,0.000925802,0.000925802,0.000925802
17,627.289,1.38313,1.60354,1.28685,0.81419,0.76409,0.88566,0.44642,1.52358,2.33823,1.46207,0.000956671,0.000956671,0.000956671
18,652.723,1.43009,1.7518,1.34525,0.6803,0.87366,0.83582,0.42864,1.51552,2.27445,1.43694,0.00098424,0.00098424,0.00098424
19,678.17,1.38367,1.52594,1.27278,0.57624,0.77807,0.74916,0.39175,1.47837,2.3729,1.42198,0.00100851,0.00100851,0.00100851
20,703.752,1.42395,1.54007,1.31671,0.65141,0.74198,0.80558,0.4061,1.56281,2.10894,1.51763,0.00102948,0.00102948,0.00102948
21,729.13,1.37754,1.43009,1.28837,0.64384,0.73442,0.80227,0.39353,1.57598,2.08458,1.49627,0.00100687,0.00100687,0.00100687
22,754.485,1.30932,1.35954,1.24526,0.76412,0.6377,0.86172,0.46494,1.46812,2.22805,1.42252,0.000973861,0.000973861,0.000973861
23,780.002,1.27242,1.35727,1.22581,0.88868,0.6377,0.85068,0.4668,1.42715,2.38237,1.41714,0.000940855,0.000940855,0.000940855
24,809.909,1.37701,1.39789,1.30217,0.89231,0.72185,0.87881,0.48049,1.55038,2.21445,1.50242,0.000907848,0.000907848,0.000907848
25,835.313,1.32286,1.48002,1.31045,0.9188,0.63223,0.80391,0.38883,1.72923,2.41986,1.66741,0.000874842,0.000874842,0.000874842
26,860.554,1.29471,1.23906,1.25103,0.90622,0.54713,0.80448,0.35079,1.75099,2.48062,1.69283,0.000841835,0.000841835,0.000841835
27,885.992,1.26329,1.24569,1.21918,0.88923,0.63204,0.81912,0.41961,1.59558,2.35937,1.54806,0.000808828,0.000808828,0.000808828
28,910.832,1.43227,1.41707,1.27203,0.88469,0.61195,0.77175,0.41167,1.63124,2.41661,1.58746,0.000775822,0.000775822,0.000775822
29,936.068,1.28746,1.29313,1.23266,0.75098,0.49463,0.74944,0.36602,1.65173,2.5282,1.61915,0.000742815,0.000742815,0.000742815
30,961.031,1.25398,1.35193,1.22036,0.74681,0.52974,0.7601,0.37475,1.57666,2.53409,1.51644,0.000709809,0.000709809,0.000709809
31,985.662,1.33712,1.34357,1.23983,0.80841,0.66544,0.79333,0.41429,1.52293,2.42057,1.4503,0.000676802,0.000676802,0.000676802
32,1010.48,1.30501,1.28714,1.23988,0.80942,0.84829,0.82705,0.44498,1.55455,1.91933,1.48413,0.000643795,0.000643795,0.000643795
33,1035.91,1.2252,1.27992,1.19187,0.81595,0.88655,0.8437,0.44679,1.62054,1.7014,1.54551,0.000610789,0.000610789,0.000610789
34,1061.88,1.32831,1.28867,1.22276,0.80442,0.90275,0.8421,0.46716,1.51842,1.55796,1.49059,0.000577782,0.000577782,0.000577782
